"Estação","Latitude","Longitude"
"Piracicaba",-22.703132,-47.623317
"Itapira",-22.415062,-46.805292
"Bragança Paulista",-22.951972,-46.530501
"São Paulo (Santana)",-23.496294,-46.620088
"Barueri",-23.52389,-46.86945
"Sorocaba",-23.426035,-47.585552
"São Carlos",-21.980353,-47.883927
"São Miguel Arcanjo",-23.852022,-48.164817
"São Paulo (Interlagos)",-23.724451,-46.677511
"Casa Branca",-21.78056,-47.07528
"Bertioga",-23.844678,-46.143376
"Campos do Jordão",-22.750231,-45.603836
"Caldas (MG)",-21.918066,-46.382996
"Taubaté",-23.041668,-45.520841
